,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel",GINI Index(Household Income)
99,Azerbaijan,2017,5.15227937698364,9.67592144012451,0.787039399147034,65.1999969482422,0.731030464172363,-0.241784602403641,0.652539014816284,0.592359244823456,0.198318660259247,0.766583442687988,-1.1564347743988,-0.463732838630676,1.67375683784485,0.324857532978058,0.2836,0.313743263483047
100,Azerbaijan,2018,5.16799545288086,9.6810302734375,0.781229913234711,65.5,0.772449254989624,-0.24819540977478,0.56120628118515,0.592575371265411,0.191391661763191,0.83437192440033,-1.09736371040344,-0.477503091096878,1.86330211162567,0.360546380281448,0.2836,0.260409832000732
101,Azerbaijan,2019,5.17338943481445,9.70478534698486,0.886756420135498,65.8000030517578,0.854248523712158,-0.23150309920311,0.457260668277741,0.642546832561493,0.163920253515244,0.857845366001129,-1.14576276143392,-0.46424541870753,1.35450148582459,0.261820912361145,0.2836,0.260580986738205
121,Bangladesh,2016,4.5561408996582,8.13856792449951,0.649116933345795,63.2999992370606,0.874700486660004,-0.085099838674069,0.687853634357452,0.559939086437225,0.235022455453873,0.845429062843323,-0.923617422580719,-0.748980164527893,1.98258280754089,0.435145199298859,0.32775,0.440177440643311
122,Bangladesh,2017,4.3097710609436,8.19817638397217,0.712552785873413,63.7999992370605,0.896217167377472,0.015172433108091,0.635014474391937,0.568827092647553,0.213505759835243,0.876646459102631,-0.936173319816589,-0.760911107063293,1.86536598205566,0.432822525501251,0.32775,0.532750129699707
123,Bangladesh,2018,4.49921703338623,8.26337432861328,0.705556035041809,64.3000030517578,0.901470839977264,-0.039868108928204,0.701421201229095,0.541344702243805,0.361237794160843,0.831693112850189,-0.88044673204422,-0.779982507228851,2.15930318832397,0.479928642511368,0.32775,0.367609113454819
124,Bangladesh,2019,5.11421680450439,8.32394695281982,0.673172175884247,64.8000030517578,0.901936650276184,-0.047552045434713,0.65600460767746,0.537235140800476,0.369471549987793,0.887990832328796,-0.913412491480509,-0.763291259606679,2.88346004486084,0.563812613487244,0.32775,0.42904543876648
135,Belarus,2016,5.17789936065674,9.72693157196045,0.926551103591919,65.5,0.658228814601898,-0.129236683249474,0.664055168628693,0.55387020111084,0.182106122374535,0.452669024467468,-0.59860622882843,-0.598072707653046,1.77763116359711,0.343311250209808,0.278222222222222,0.316431254148483
136,Belarus,2017,5.55291509628296,9.75228214263916,0.900255799293518,65.8000030517578,0.620979249477387,-0.125332251191139,0.654113411903381,0.540905773639679,0.232768073678017,0.447916299104691,-0.70454877614975,-0.537588238716126,1.66256368160248,0.299403756856918,0.278222222222222,0.283250212669373
137,Belarus,2018,5.23376989364624,9.78368186950684,0.904569268226624,66.0999984741211,0.64360237121582,-0.1782266497612,0.718455493450165,0.450332850217819,0.235728621482849,0.421278685331345,-0.498618483543396,-0.496582388877869,1.69010710716248,0.322923451662064,0.278222222222222,0.293443888425827
138,Belarus,2019,5.82145309448242,9.80285263061523,0.916740477085114,66.4000015258789,0.656933605670929,-0.190075814723969,0.545904755592346,0.590850591659546,0.189821407198906,0.460812598466873,-0.600591162840525,-0.544081111749013,1.92153871059418,0.33007887005806,0.278222222222222,0.308752626180649
148,Belgium,2016,6.94893646240234,10.6505079269409,0.928964078426361,71.5999984741211,0.865759015083313,-0.053129773586989,0.496659100055695,0.764590084552765,0.259653389453888,0.419177502393723,0.909164547920227,1.42414176464081,1.49702370166779,0.215432062745094,0.284307692307692,0.348629802465439
149,Belgium,2017,6.92834758758545,10.6638507843018,0.921639084815979,71.8000030517578,0.856801986694336,0.057111334055662,0.543046057224274,0.78636759519577,0.233597695827484,0.449731916189194,0.906527757644653,1.31662178039551,1.5100132226944,0.217947095632553,0.284307692307692,0.354373842477798
150,Belgium,2018,6.89217185974121,10.6740112304688,0.929815530776978,72,0.808386623859406,-0.121812298893929,0.630411803722382,0.749562740325928,0.250297337770462,0.441944539546967,0.904804706573486,1.32094717025757,1.54809069633484,0.224615797400475,0.284307692307692,0.299524575471878
151,Belgium,2019,6.7721381187439,10.6828231811523,0.884230494499206,72.1999969482422,0.776203632354736,-0.168733805418015,0.672497510910034,0.73345559835434,0.243630841374397,0.327901154756546,0.906832337379456,1.35390357176463,1.60507929325104,0.237012192606926,0.284307692307692,0.326875120401382
161,Benin,2016,4.00735759735107,7.60572147369385,0.492815852165222,53.5,0.779795229434967,-0.042726151645184,0.837715744972229,0.608236968517303,0.455767601728439,0.637445390224457,0.205643698573112,-0.553528726100922,2.19175410270691,0.546932518482208,0.432666666666667,0.464345633983612
162,Benin,2017,4.85318088531494,7.63495874404907,0.435878992080689,53.9000015258789,0.726808249950409,-0.042791202664375,0.767234623432159,0.614722311496735,0.457920342683792,0.615089297294617,0.205988958477974,-0.574794232845306,2.99812650680542,0.617765247821808,0.432666666666667,0.577069699764252
163,Benin,2018,5.81982707977295,7.67394065856934,0.5035440325737,54.2999992370605,0.713264048099518,0.024184865877032,0.746510744094849,0.646655142307282,0.467871814966202,0.639219760894775,0.067495726048946,-0.490911513566971,3.31329798698425,0.56931209564209,0.432666666666667,0.606243252754211
164,Benin,2019,4.97636079788208,7.71053647994995,0.442153930664063,54.7000007629395,0.770359992980957,0.006048574112356,0.698346972465515,0.658773541450501,0.441398769617081,0.690226018428803,0.159709461033344,-0.539744824171066,3.29924559593201,0.662983596324921,0.432666666666667,0.540696561336517
178,Bolivia,2016,5.76972341537476,8.79791641235352,0.795958757400513,63,0.881748735904694,-0.038354311138392,0.852592945098877,0.783008873462677,0.376412242650986,0.401742279529572,-0.142895936965942,-0.854027032852173,2.05057311058044,0.355402320623398,0.5165,0.430949568748474
179,Bolivia,2017,5.65055274963379,8.82452011108398,0.778661787509918,63.2999992370606,0.883904933929443,-0.112021170556545,0.819261968135834,0.698195397853851,0.433943539857864,0.427632957696915,-0.15183313190937,-0.786855101585388,2.25048422813416,0.398276835680008,0.5165,0.405886590480804
180,Bolivia,2018,5.91573429107666,8.85167026519775,0.827159464359283,63.5999984741211,0.863246858119965,-0.084552489221096,0.786044597625732,0.741972625255585,0.387468874454498,0.399588227272034,-0.142714157700539,-0.748035550117493,2.2045419216156,0.372657358646393,0.5165,0.450113028287888
181,Bolivia,2019,5.67427062988281,8.87702560424805,0.784301400184631,63.9000015258789,0.881310939788818,-0.078626677393913,0.857220411300659,0.751408159732819,0.419328212738037,0.300631314516067,-0.145814408858617,-0.796305894851685,2.25165343284607,0.39681813120842,0.5165,0.420674413442612
190,Bosnia and Herzegovina,2016,5.18086528778076,9.37383079528809,0.807705104351044,67.1999969482422,0.633453726768494,0.135235026478767,0.957311987876892,0.640764355659485,0.304080277681351,0.212188497185707,-0.265017420053482,-0.308317720890045,2.21604871749878,0.427737176418304,0.32525,0.398743331432343
191,Bosnia and Herzegovina,2017,5.08990240097046,9.41528797149658,0.775295257568359,67.5,0.563798666000366,0.092370979487896,0.923343062400818,0.597341656684876,0.270745515823364,0.1263797134161,-0.277679264545441,-0.339601427316666,2.28100657463074,0.448143482208252,0.32525,0.486203879117966
192,Bosnia and Herzegovina,2018,5.88740110397339,9.45375728607178,0.835889577865601,67.8000030517578,0.658846437931061,0.124249070882797,0.9128577709198,0.642939507961273,0.277365058660507,0.254097163677216,-0.317957431077957,-0.407497882843018,1.98775029182434,0.337627798318863,0.32525,0.385817497968674
193,Bosnia and Herzegovina,2019,6.01552248001099,9.49512386322022,0.873141944408417,68.0999984741211,0.721563220024109,0.079654678702355,0.962908029556274,0.632989764213562,0.238068550825119,0.167970508337021,-0.286884705225627,-0.351805677016576,2.25740504264832,0.375263333320618,0.32525,0.365761160850525
202,Botswana,2016,3.49893665313721,9.68266677856445,0.768302798271179,57.5,0.851694881916046,-0.25613808631897,0.729171812534332,0.685666739940643,0.251836597919464,0.803130805492401,0.694430828094482,0.630482852458954,2.68579149246216,0.767602205276489,0.595,0.658420264720917
203,Botswana,2017,3.50488114356995,9.69062423706055,0.768258631229401,58.2000007629395,0.817308008670807,-0.251319169998169,0.731441497802734,0.656396448612213,0.276252508163452,0.770821094512939,0.704931735992432,0.553991317749023,2.66942548751831,0.761630833148956,0.595,0.637864351272583
204,Botswana,2018,3.46136569976807,9.71222019195557,0.794936001300812,58.9000015258789,0.817621111869812,-0.257586628198624,0.806945443153381,0.729643225669861,0.267083704471588,0.718788146972656,0.726948201656342,0.501335382461548,2.63789248466492,0.762095868587494,0.595,0.616160452365875
205,Botswana,2019,3.47108483314514,9.72886085510254,0.773667216300964,59.5999984741211,0.832542657852173,-0.24311563372612,0.792079508304596,0.711796343326569,0.272721767425537,0.690069556236267,0.708770255247752,0.561936517556508,2.61471080780029,0.753283441066742,0.595,0.617295265197754
216,Brazil,2016,6.37481737136841,9.56101989746094,0.912455141544342,66,0.806571543216705,-0.106994859874249,0.781092762947083,0.763112425804138,0.302083820104599,0.264140248298645,0.036680415272713,-0.229939252138138,2.51803922653198,0.394997864961624,0.5458125,0.450316846370697
217,Brazil,2017,6.3329291343689,9.56353092193604,0.904694259166718,66.1999969482422,0.764792561531067,-0.181627795100212,0.794457376003265,0.71594512462616,0.307716906070709,0.16549026966095,0.016415730118752,-0.305465459823608,2.5305061340332,0.399579107761383,0.5458125,0.39262256026268
