Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices ,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Gini Index(Household),Life Ladder
75,24,82,1,0,85,19,79,1,69,67,18,5.14824151992798
62,46,75,103,14,37,111,2,56,19,62,78,5.14412021636963
79,68,71,68,30,21,42,21,60,79,82,1,6.20126819610596
0,2,18,58,77,66,19,77,67,58,26,82,3.47649264335632
107,103,87,108,87,6,94,16,77,108,109,30,7.44213962554932
20,20,38,89,71,20,10,28,101,16,19,84,4.3097710609436
55,75,55,67,46,44,73,82,28,61,47,101,6.45114898681641
60,31,44,26,7,18,17,14,91,8,39,3,5.30389499664307
15,28,37,47,93,39,6,96,84,42,25,76,4.9100866317749
57,36,30,14,35,89,38,108,28,1,2,79,5.09958982467651
12,25,5,19,58,75,54,89,53,14,21,95,4.98799180984497
62,79,70,40,57,62,3,41,52,63,60,27,6.24140739440918
33,35,47,56,15,56,73,84,10,62,44,63,6.13982486724854
40,3,44,8,6,16,9,32,29,60,81,57,4.44838619232178
73,93,37,51,56,30,50,4,95,29,44,16,5.53355169296265
10,24,27,41,79,37,27,59,96,3,28,80,4.09955501556397
56,72,47,76,31,44,64,56,50,64,41,72,5.60520267486572
57,95,31,39,64,37,29,48,56,8,1,0,5.88705158233643
25,37,60,72,82,63,105,58,31,36,24,91,5.93005132675171
20,16,29,43,61,55,83,79,83,63,55,55,5.48873662948608
18,17,5,45,60,73,28,93,73,13,10,92,5.07405138015747
110,77,84,85,63,9,69,20,94,109,105,11,7.24263095855713
49,52,63,17,92,96,33,57,11,44,40,32,5.88740110397339
55,72,45,82,42,38,72,57,66,66,42,73,5.23869848251343
45,40,42,54,64,21,2,64,33,57,65,0,5.46661520004272
7,14,1,10,67,53,26,111,52,5,4,91,4.55893707275391
10,7,0,2,75,65,12,108,61,5,3,77,4.02935028076172
34,13,46,61,3,34,54,21,56,37,56,83,5.38630723953247
69,83,52,96,84,65,67,6,78,90,83,45,6.17411756515503
61,48,35,44,37,27,52,99,56,0,0,84,5.33022212982178
98,108,80,107,95,3,99,23,51,102,106,78,7.5577826499939
31,18,24,93,96,19,105,79,100,25,15,89,4.85940217971802
24,64,63,84,73,19,98,81,61,32,19,67,6.11254501342773
66,76,71,72,10,79,92,77,13,69,57,41,5.79279661178589
65,39,65,77,11,59,102,35,11,41,46,56,6.41029930114746
69,97,73,91,35,17,111,30,67,98,84,44,6.60033702850342
83,90,71,42,17,95,70,46,26,87,80,2,6.23511075973511
52,58,61,38,58,95,14,66,37,56,64,17,5.23983478546143
72,63,76,18,33,81,88,82,2,83,94,43,5.94225025177002
81,105,67,23,47,97,76,36,34,89,82,3,5.99316310882568
47,9,68,39,61,86,41,80,49,68,58,43,4.63954830169678
7,11,2,3,75,70,13,107,70,4,4,104,4.25079917907715
30,87,46,111,107,14,103,30,105,15,7,74,6.15404939651489
48,51,59,77,88,80,97,69,74,57,55,42,4.43502378463745
28,65,61,89,40,57,5,31,56,31,52,56,5.0622673034668
30,50,39,5,64,101,11,49,1,52,39,56,5.32553052902222
107,52,57,110,102,37,85,23,56,49,93,98,7.03941965103149
36,30,44,91,50,48,106,73,49,39,27,97,6.2621750831604
63,47,35,50,55,24,49,94,56,0,0,96,5.64685249328613
23,26,20,61,81,74,67,45,81,69,61,109,5.00369310379028
80,70,83,83,1,87,43,76,62,100,92,47,5.91982269287109
9,41,18,23,97,67,47,96,68,26,35,100,4.94805145263672
34,46,52,78,39,59,106,52,33,53,37,66,6.2411994934082
45,105,33,43,83,93,48,7,30,76,50,32,5.05699968338013
45,6,59,18,7,89,6,104,19,40,56,62,4.31547975540161
95,99,81,107,53,2,71,11,84,104,110,44,7.78034782409668
35,11,48,59,7,72,8,77,56,35,53,83,5.31248283386231
5,1,9,28,54,35,22,103,54,23,14,89,4.36080503463745
22,20,14,53,74,62,50,86,77,57,36,103,4.04148817062378
67,69,68,73,14,77,101,73,42,70,49,14,6.42722129821777
62,60,69,12,55,47,14,86,38,63,70,42,5.6501898765564
51,68,58,68,36,92,85,63,13,41,63,91,6.23371505737305
59,17,28,12,59,43,3,111,44,2,4,89,4.46239900588989
13,13,15,21,87,42,45,109,73,24,8,70,4.76768445968628
105,106,90,97,74,6,85,7,98,107,109,14,7.69422101974487
85,45,88,59,75,78,80,67,24,86,87,42,6.06205129623413
9,15,10,20,68,36,46,90,89,37,42,75,4.74089288711548
104,60,42,32,90,12,18,88,27,77,104,55,5.65931701660156
8,14,8,30,66,43,54,84,81,34,42,99,4.92723608016968
92,70,91,49,0,27,51,12,35,97,97,47,5.79357528686523
21,33,18,1,21,73,62,30,6,22,21,64,4.47214937210083
4,14,28,4,68,90,70,89,46,40,11,94,4.07058668136597
77,82,39,33,24,83,42,17,49,22,32,35,5.51350021362305
76,73,55,22,23,57,24,36,14,78,86,24,5.97781753540039
42,47,42,87,106,99,78,7,30,42,41,41,6.39182567596436
62,111,34,77,104,37,21,13,56,13,1,0,4.62060165405273
50,57,66,66,14,94,89,94,5,59,52,77,5.6796612739563
108,104,83,88,83,8,88,32,74,98,98,56,7.25484132766724
51,63,66,30,83,106,28,40,3,46,44,26,6.01552248001099
11,0,7,51,56,71,20,106,83,65,33,65,4.00735759735107
103,74,69,43,95,38,87,50,20,85,98,108,6.80359983444214
70,43,55,63,32,104,49,49,4,71,74,28,5.96887063980103
80,101,62,21,3,96,42,19,36,74,79,1,5.93577098846436
83,86,70,27,49,98,83,26,29,93,81,4,6.36550903320313
22,36,32,109,74,68,102,101,92,33,12,99,5.1218376159668
35,59,32,101,27,32,75,84,100,33,49,77,5.5942702293396
14,53,31,70,100,64,26,91,56,33,16,72,5.0995397567749
22,38,20,12,40,40,47,49,23,23,22,64,4.15261936187744
9,14,29,96,72,0,70,60,106,28,75,99,3.33298993110657
48,15,71,64,69,92,55,76,45,69,57,63,5.00440263748169
39,35,58,31,21,37,28,86,56,30,72,27,4.45254802703857
24,45,42,9,29,62,16,93,50,3,48,49,4.90661811828613
76,35,59,13,29,44,0,91,69,7,60,30,4.87207365036011
20,27,31,110,85,65,85,100,93,35,12,87,4.58584213256836
60,66,58,99,102,88,91,36,77,20,65,80,5.9388952255249
29,7,28,63,74,46,49,84,91,48,57,35,4.17917728424072
17,15,30,62,108,54,70,45,87,24,37,98,4.61885023117065
18,15,6,60,74,88,33,87,84,7,10,81,5.25073766708374
44,18,53,10,17,62,21,93,30,40,51,34,4.52145338058472
36,70,55,12,21,72,73,86,12,7,0,71,5.08080339431763
50,43,68,60,28,86,92,93,8,60,55,85,5.99938154220581
103,71,48,49,27,37,84,50,56,11,75,96,6.47392129898071
104,50,42,68,93,11,31,18,66,78,105,68,5.36247491836548
21,23,12,64,93,38,45,97,90,56,36,103,3.93277740478516
98,86,84,103,99,4,90,8,69,104,108,18,7.28680467605591
6,4,17,7,109,35,13,89,33,24,4,106,3.61492800712586
18,86,37,59,83,97,78,1,63,35,14,40,4.85653400421143
14,63,21,15,21,57,7,27,16,0,1,55,4.19691276550293
16,60,37,23,69,19,34,30,100,7,7,14,5.10372114181519
0,15,5,23,67,63,42,77,71,22,28,69,4.23464584350586
4,17,12,59,93,16,99,57,97,42,35,91,4.11793899536133
60,28,21,75,2,36,45,46,98,82,81,106,3.49893665313721
70,69,75,86,39,71,106,42,27,72,64,85,6.1176381111145
61,68,67,12,43,42,4,85,30,61,66,20,5.6147985458374
38,39,56,44,15,37,28,86,56,34,67,35,4.63893365859985
79,98,58,22,12,52,10,25,9,78,86,4,5.96975374221802
14,45,36,72,95,47,10,93,69,38,20,65,4.73669242858887
7,0,5,0,37,100,0,110,29,1,2,28,2.37509179115295
93,108,79,107,62,5,85,11,55,104,110,35,7.65984344482422
97,92,83,87,84,15,71,17,45,98,100,4,7.04807186126709
61,70,49,75,6,13,33,5,100,9,38,1,5.17338943481445
